Accuracy,Precision,Recall,F1-Score,ROC-AUC,Model,Configuration,Model_Type
0.9866666666666667,0.9875,0.9866666666666667,0.9866666666666667,0.9993276836158193,LGBMClassifier,LDA,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9948436911487759,RandomForestClassifier,MI,Base
0.9733333333333334,0.9762962962962963,0.9733333333333334,0.9731652661064426,0.9977627118644068,BaggingEnsemble,MI + SMOTE+Tomek,Ensemble
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9979811676082864,RandomForestClassifier,LDA,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9768003766478344,ExtraTreesClassifier,LDA,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9912655367231639,LGBMClassifier,MI + SMOTE+Tomek,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9883352165725048,XGBClassifier,LDA,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9777005649717514,DecisionTreeClassifier,LDA,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9896873822975518,GradientBoostingClassifier,MI,Base
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9961996233521656,VotingClassifier,LDA,Ensemble
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9979774011299435,BaggingEnsemble,MI,Ensemble
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9977589453860641,StackingClassifier,MI,Ensemble
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9932881355932204,VotingClassifier,MI + SMOTE+Tomek,Ensemble
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9783728813559321,ExtraTreesClassifier,MI,Base
0.96,0.9615686274509805,0.96,0.9605294322535701,0.9778622197922363,DecisionTreeClassifier,MI,Base
0.96,0.9607777777777778,0.96,0.96,0.9906803960877225,AdaBoostClassifier,MI,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9941694915254238,RandomForestClassifier,Boruta + SMOTE+Tomek,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9890244821092279,XGBClassifier,MI + SMOTE+Tomek,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9847344632768361,GradientBoostingClassifier,LDA,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.977704331450094,ExtraTreesClassifier,MI + SMOTE+Tomek,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9937363465160075,RandomForestClassifier,MI + SMOTE+Tomek,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9824745762711863,GradientBoostingClassifier,Boruta + SMOTE+Tomek,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9946591337099813,MLPClassifier,MI + SMOTE+Tomek,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9923691148775894,VotingClassifier,MI,Ensemble
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9903653483992466,LGBMClassifier,MI,Base
0.96,0.9615686274509805,0.96,0.9605294322535701,0.9950809792843692,StackingClassifier,PowerTransformer + SMOTE,Ensemble
0.96,0.9615686274509805,0.96,0.9605294322535701,0.9979774011299435,BaggingEnsemble,PowerTransformer + SMOTE,Ensemble
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9935404896421847,StackingClassifier,MI + SMOTE+Tomek,Ensemble
0.96,0.9616666666666667,0.96,0.9605685329378321,0.9946214689265537,RandomForestClassifier,PowerTransformer + SMOTE,Base
0.96,0.9663157894736842,0.96,0.9594920634920635,0.9952862523540491,AdaBoostClassifier,PowerTransformer + SMOTE,Base
0.96,0.9606162464985993,0.96,0.9599164054336469,0.9981996233521657,BaggingEnsemble,Boruta + SMOTE+Tomek,Ensemble
0.9466666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.9948361581920904,StackingClassifier,LDA,Ensemble
0.9466666666666667,0.9504836601307189,0.9466666666666667,0.9476115436905203,0.989241054613936,AdaBoostClassifier,LDA,Base
0.9466666666666667,0.9573333333333333,0.9466666666666667,0.9483671711578688,0.9865429803778628,MLPClassifier,Boruta + SMOTE+Tomek,Base
0.9466666666666667,0.946074074074074,0.9466666666666667,0.9460964117433853,0.9968625235404895,BaggingEnsemble,LDA,Ensemble
0.9466666666666667,0.9482352941176472,0.9466666666666667,0.9471960989202368,0.9977627118644068,MLPClassifier,MI,Base
0.9466666666666667,0.9520300751879699,0.9466666666666667,0.9473812196891587,0.9886218334244579,SVC,PowerTransformer + SMOTE,Base
